REG,region,con,wld
CAS,FSU,,WLD
BRA,BRA,OAM,WLD
CAN,CAN,NAM,WLD
CHR,CHN,SAS,WLD
EAF,SSA,AME,WLD
REU12,EUR,,WLD
REU16,EUR,,WLD
IND,IND,SAS,WLD
IDN,SEA,SAS,WLD
JPN,SEA,SAS,WLD
KOR,SEA,SAS,WLD
MEX,OSA,OAM,WLD
ME,MEN,AME,WLD
NAF,MEN,AME,WLD
OCE,ANZ,,WLD
RCE,EUR,,WLD
CAM,OSA,OAM,WLD
RSM,OSA,OAM,WLD
RUR,FSU,,WLD
RWE,EUR,,WLD
SEA,SEA,SAS,WLD
RSF,SSA,AME,WLD
TUR,MEN,AME,WLD
UKR,FSU,,WLD
USA,USA,NAM,WLD
WAF,SSA,AME,WLD
NA,OAS,SAS,WLD
ZAF,SSA,AME,WLD
RSA,OAS,SAS,WLD
grc,grc,EUR,WLD
aze,aze,FSU,WLD
svk,svk,EUR,WLD
lva,lva,EUR,WLD
cze,cze,EUR,WLD
gbr,gbr,EUR,WLD
swe,swe,EUR,WLD
esp,esp,EUR,WLD
nld,nld,EUR,WLD
ita,ita,EUR,WLD
deu,deu,EUR,WLD
fra,fra,EUR,WLD
dnk,EUR,,WLD
